Accession ID,Longitude,Latitude,Elevation,Annual mean UVB,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
1820,-86.67,41.8,197,2367,9.566666603,9.833333015,27.01465225,969.2741699,27.89999962,-8.5,36.40000153,21.23333359,-1.416666746,21.23333359,-2.799999952,978,102,44,21.20031166,289,170,289,176
1829,-86.509,42.051,193,2365,9.545833588,9.491666794,26.6619854,962.1317749,27.70000076,-7.900000095,35.60000229,20.46666718,-1.350000024,21.21666718,-2.566666603,949,98,42,21.14732552,279,162,274,175
1834,-86.509,42.051,193,2365,9.545833588,9.491666794,26.6619854,962.1317749,27.70000076,-7.900000095,35.60000229,20.46666718,-1.350000024,21.21666718,-2.566666603,949,98,42,21.14732552,279,162,274,175
1835,-86.509,42.051,193,2365,9.545833588,9.491666794,26.6619854,962.1317749,27.70000076,-7.900000095,35.60000229,20.46666718,-1.350000024,21.21666718,-2.566666603,949,98,42,21.14732552,279,162,274,175
1851,-86.2657,43.595,261,2253,7.595833302,10.8083334,29.21171188,979.6902466,27,-10,37,15.05000019,-3.850000143,19.31666565,-4.666666985,863,107,38,25.439291,283,152,229,163
1852,-86.2657,43.595,261,2253,7.595833302,10.8083334,29.21171188,979.6902466,27,-10,37,15.05000019,-3.850000143,19.31666565,-4.666666985,863,107,38,25.439291,283,152,229,163
1853,-86.2657,43.595,261,2253,7.595833302,10.8083334,29.21171188,979.6902466,27,-10,37,15.05000019,-3.850000143,19.31666565,-4.666666985,863,107,38,25.439291,283,152,229,163
1872,-86.2657,43.595,261,2253,7.595833302,10.8083334,29.21171188,979.6902466,27,-10,37,15.05000019,-3.850000143,19.31666565,-4.666666985,863,107,38,25.439291,283,152,229,163
1890,-86.1859,43.5139,208,2222,7.849999905,11.05000019,30.027174,965.6463013,27.10000038,-9.699999809,36.79999924,15.0666666,-3.366666555,19.43333435,-4.233333111,848,105,37,25.22410583,275,151,223,163
1925,-86.1843,43.5251,215,2222,7.800000191,11.08333302,29.95495415,969.9273682,27.20000076,-9.800000191,37,15.05000019,-3.466666698,19.45000076,-4.333333015,849,106,37,25.27732086,275,151,223,163
1942,-86.1843,43.5251,215,2222,7.800000191,11.08333302,29.95495415,969.9273682,27.20000076,-9.800000191,37,15.05000019,-3.466666698,19.45000076,-4.333333015,849,106,37,25.27732086,275,151,223,163
